Lesson;Spanish;German;Wordtype;Gender;Number;LA
1 C;escuchar;hören;Verb;;;
1 C;el diálogo;Dialog;Nomen;M.;SG;
1 C;otra vez;noch einmal, wieder;Phrase;;;
1 C;ya;schon;Adverb;;;
1 C;abrid (Inf: abrir);öffnet;Verb;;;
1 C;por;auf;Präposition;;;
1 C;la página;Seite;Nomen;F.;SG;
1 C;¿Qué?;Welche/r?;Pronomen;;;
1 C;tener (tengo, e -> ie);haben;Verb;;;
1 C;la pregunta;Frage;Nomen;F.;SG;
1 C;¡Adiós!;Tschüss!;Phrase;;;
1 C;próximo;nächster;Adjektiv;M.;SG;
1 C;próxima;nächster;Adjektiv;F.;SG;
1 C;la semana;Woche;Nomen;F.;SG;
1 C;claro;klar;Adjektiv;M.;SG;
1 C;clara;klar;Adjektiv;F.;SG;
1 C;estar (estoy);sein;Verb;;;
1 C;mis temas favoritos;meine Lieblingsthemen;Phrase;;;
1 C;la naturaleza;Natur;Nomen;F.;SG;
1 C;la política;Politik;Nomen;F.;SG;
1 C;el arte;Kunst;Nomen;M.;SG;
1 C;la música;Musik;Nomen;F.;SG;
1 C;la historia;Geschichte;Nomen;F.;SG;
1 C;la arquitectura;Architektur;Nomen;F.;SG;
1 C;la literatura;Literatur;Nomen;F.;SG;
1 C;la cocina;Küche, Kochkunst;Nomen;F.;SG;
1 C;el deporte;Sport;Nomen;M.;SG;
1 C;asociar;verbinden;Verb;;;
1 C;también;auch;Konjunktion;;;
1 C;la ciudad;Stadt;Nomen;F.;SG;
1 C;la estación;Station, Bahnhof, Jahreszeit;Nomen;F.;SG;
1 C;la pensión;Rente;Nomen;F.;SG;
1 C;saludos y despedidas;Begrüßungen und Verabschiedungen;Phrase;;;
1 C;¡Adiós, hasta mañana!;Tschüs, bis morgen!;Phrase;;;
1 C;mañana;morgen;Adverb;;;
1 C;¡Buenas tardes!;Guten Abend!;Phrase;;;
1 C;¡Hasta pronto!;Bis bald!;Phrase;;;
1 C;¡Chao!;Ciao!;Phrase;;;
1 C;¡Buenas noches!;Gute Nacht!;Phrase;;;
1 C;la noche;Nacht;Nomen;F.;SG;
1 AB;¿De quién?;Von wem?;Phrase;;;
1 AB;hablar;sprechen, reden;Verb;;;
1 AB;el estudiante Erasmus;Erasmusstudent;Nomen;M.;SG;
1 AB;la estudiante Erasmus;Erasmusstudentin;Nomen;F.;SG;
1 AB;Perdone,…;Entschuldigen Sie,…;Phrase;;;
1 AB;Colombia;Kolumbien;Nomen;;;
1 AB;¿Está bien así?;Ist es so richtig?;Phrase;;;
1 AB;la respuesta;Antwort;Nomen;F.;SG;
1 AB;pronunciar;aussprechen;Verb;;;
1 AB;la clase;Unterricht;Nomen;F.;SG;
1 AB;comprender;verstehen;Verb;;;
1 AB;la libreta;Heft, Notizbuch;Nomen;F.;SG;
1 AB;el CD;CD;Nomen;M.;SG;
1 AB;el diccionario;Wörterbuch;Nomen;M.;SG;
1 AB;el café;Kaffee, Café;Nomen;M.;SG;
1 AB;el restaurante;Restaurant;Nomen;M.;SG;
1 AB;el bombón;Praline, Schokoladenbonbon;Nomen;M.;SG;
1 AB;el país;Land;Nomen;M.;SG;
1 AB;la televisión;Fernsehen;Nomen;F.;SG;
1 AB;el dia;Tag;Nomen;M.;SG;
1 AB;el mapa;(Land)karte;Nomen;M.;SG;
1 AB;el programa;Programm;Nomen;M.;SG;
1 AB;el tema;Thema;Nomen;M.;SG;
1 AB;el problema;Problem;Nomen;M.;SG;
1 AB;el idioma;Sprache;Nomen;M.;SG;
1 AB;la mano;Hand;Nomen;F.;SG;
1 AB;la radio;Radio;Nomen;F.;SG;
1 AB;el mundo;Welt, Erde;Nomen;M.;SG;
1 AB;el desierto;Wüste;Nomen;M.;SG;
1 AB;la caña;kleines Bier;Nomen;F.;SG;
1 AB;la cerveza;Bier;Nomen;F.;SG;
1 AB;el guacamole;Avocadocreme;Nomen;M.;SG;
1 AB;la playa;Strand;Nomen;F.;SG;
1 AB;el Caribe;Karibik;Nomen;M.;SG;
1 AB;el volcán;Vulkan;Nomen;M.;SG;
1 AB;el fútbol;Fußball;Nomen;M.;SG;
1 AB;Argentina;Argentinien;Nomen;;;
1 AB;la isla;Insel;Nomen;F.;SG;
1 AB;el Mediterráneo;Mittelmeer;Nomen;M.;SG;
1 AB;la gastronomía;Gastronomie;Nomen;F.;SG;
1 AB;el cine;Kino, Filmkunst;Nomen;M.;SG;
1 AB;reaccionar;reagieren;Verb;;;
1 AB;Así como suena.;So hört sich es an.;Phrase;;;
2;mis;meine;Pronomen;;PL;
2;el compañero;Kommilitone;Nomen;M.;SG;
2;la compañera;Kommilitonin;Nomen;F.;SG;
2;el estudiante;Student;Nomen;M.;SG;
2;la estudiante;Studentin;Nomen;F.;SG;
2;de;von;Präposition;;;
2;la Traducción;Übersetzungswissenschaft;Nomen;F.;SG;
2;la Interpretación;Dolmetschwissenschaft;Nomen;F.;SG;
2;e;und;Konjunktion;;;
2;la Medicina;Medizin;Nomen;F.;SG;
2;el Periodismo;Journalismus;Nomen;M.;SG;
2;la Biología;Biologie;Nomen;F.;SG;
2;el Diseño Industrial;Industriedesign;Nomen;M.;SG;
2;mi;mein/e;Pronomen;;SG;
2;la lengua;Sprache;Nomen;F.;SG;
2 A;nos presentamos;wir stellen uns vor;Phrase;;;
2 A;presentarse;sich vorstellen;Verb;;;
2 A;¿Qué idiomas conoces?;Welche Sprachen kannst du?;Phrase;;;
2 A;inglés;Englisch;Nomen;M.;SG;
2 A;francés;Französisch;Nomen;M.;SG;
2 A;alemán;Deutsch;Nomen;M.;SG;
2 A;español;Spanisch;Nomen;M.;SG;
2 A;italiano;Italienisch;Nomen;M.;SG;
2 A;portugués;Portugiesisch;Nomen;M.;SG;
2 A;ruso;Russisch;Nomen;M.;SG;
2 A;chino;Chinesisch;Nomen;M.;SG;
2 A;otro;ein anderer;Adjektiv;M.;SG;
2 A;otra;ein anderer;Adjektiv;F.;SG;
2 A;leer;lesen;Verb;;;
2 A;muy bien;sehr gut;Adverb;;;
2 A;bastante bien;ziemlich gut;Adverb;;;
2 A;bien;gut;Adverb;;;
2 A;regular;mittelmäßig, durchschnittlich;Adverb;;;
2 A;un poco (de);ein bisschen;Adverb;;;
2 A;mal;o/a;Adjektiv;M.;SG;
2 A;mala;schlecht;Adjektiv;F.;SG;
2 A;bastante mal;ziemlich schlecht;Adverb;;;
2 A;muy mal;sehr schlecht;Adverb;;;
2 A;busco un intercambio;ich suche einen Austauschpartner;Phrase;;;
2 A;el intercambio de idiomas;Sprachaustausch;Nomen;M.;SG;
2 A;el nombre;Name;Nomen;M.;SG;
2 A;el idioma materno;Muttersprache;Nomen;M.;SG;
2 A;la nacionalidad;Nationalität;Nomen;F.;SG;
2 A;el irlandés;Ire;Nomen;M.;SG;
2 A;la irlandesa;Irin;Nomen;F.;SG;
2 A;Dublín;Dublin;Nomen;M.;SG;
2 A;ahora;jetzt;Adverb;;;
2 A;vivir;wohnen, leben;Verb;;;
2 A;Londres;London;Nomen;M.;SG;
2 A;estudiar;studieren, lernen;Verb;;;
2 A;la lengua materna;Muttersprache;Nomen;F.;SG;
2 A;aprender;lernen;Verb;;;
2 A;buscar;suchen;Verb;;;
2 A;para;um … zu;Präposition;;;
2 A;practicar;üben;Verb;;;
2 A;Berlín;Berlin;Nomen;M.;SG;
2 A;mis (Pl);meine;Pronomen;M.;PL;
2 A;turco;Türkisch;Nomen;M.;SG;
2 A;la conversación;Gespräch, Konversation;Nomen;F.;SG;
2 A;el amigo;Freund;Nomen;M.;SG;
2 A;la amiga;Freundin;Nomen;F.;SG;
2 A;nuestro;unser;Pronomen;M.;SG;
2 A;nuestra;unser;Pronomen;F.;SG;
2 A;catalán;Katalanisch;Nomen;M.;SG;
2 A;necesitar (+Inf);müssen, brauchen, benötigen;Verb;;;
2 A;el hispanohablante;spanischer Muttersprachler;Nomen;M.;SG;
2 A;la hispanohablante;spanische Muttersprachlerin;Nomen;F.;SG;
2 A;en;in;Präposition;;;
2 A;¿Dónde vives?;Wo wohnst du?;Phrase;;;
2 A;¿Dónde?;Wo?;Adverb;;;
2 A;¿De dónde eres?;Woher kommst du?;Phrase;;;
2 A;Turquía;Türkei;Nomen;F.;SG;
2 A;Austria;Österreich;Nomen;F.;SG;
2 A;los Estados Unidos;die Vereinigten Staaten (USA);Nomen;M.;PL;
2 A;Alemania;Deutschland;Nomen;F.;SG;
2 A;Rusia;Russland;Nomen;F.;SG;
2 A;Polonia;Polen;Nomen;F.;SG;
2 A;ruso;russisch;Adjektiv;M.;SG;
2 A;rusa;russisch;Adjektiv;F.;SG;
2 A;polaco;polnisch;Adjektiv;M.;SG;
2 A;polaca;polnisch;Adjektiv;F.;SG;
2 A;chino;chinesisch;Adjektiv;M.;SG;
2 A;china;chinesisch;Adjektiv;F.;SG;
2 A;alemán;deutsch;Adjektiv;M.;SG;
2 A;alemana;deutsch;Adjektiv;F.;SG;
2 A;portugués;portugiesisch;Adjektiv;M.;SG;
2 A;portuguesa;portugiesisch;Adjektiv;F.;SG;
2 A;turco;türkisch;Adjektiv;M.;SG;
2 A;turca;türkisch;Adjektiv;F.;SG;
2 A;marroquí;marokkanisch;Adjektiv;M.;SG;
2 A;austriaco;österreichisch;Adjektiv;M.;SG;
2 A;austriaca;österreichisch;Adjektiv;F.;SG;
2 A;japonés;japanisch;Adjektiv;M.;SG;
2 A;japonesa;japanisch;Adjektiv;F.;SG;
2 A;estadounidense;US-amerikanisch;Adjektiv;M.;SG;
2 A;francés;französisch;Adjektiv;M.;SG;
2 A;francesa;französisch;Adjektiv;F.;SG;
2 A;belga;belgisch;Adjektiv;M.;SG;
2 A;Soy polaco;Ich bin Pole;Phrase;M.;SG;
2 A;Soy polaca;Ich bin Polin;Phrase;F.;SG;
2 A;Soy de Polonia;Ich komme aus Polen;Phrase;;;
2 A;el estudio universitario;Studiengang;Nomen;M.;SG;
2 A;el tiempo libre;Freizeit;Nomen;M.;SG;
2 A;tocar;spielen (Instrument);Verb;;;
2 A;el instrumento;Instrument;Nomen;M.;SG;
2 A;quedar;sich treffen;Verb;;;
2 A;cocinar;kochen;Verb;;;
2 A;bailar;tanzen;Verb;;;
2 A;correr;rennen, joggen gehen;Verb;;;
2 A;ver la tele;fernsehen;Phrase;;;
2 A;la revista;Zeitschrift;Nomen;F.;SG;
2 A;el periódico;Zeitung;Nomen;M.;SG;
2 A;viajar;reisen;Verb;;;
2 A;cantar;singen;Verb;;;
2 A;el coro;Chor;Nomen;M.;SG;
2 B;el curso de idiomas;Sprachkurs;Nomen;M.;SG;
2 B;el curso;Kurs;Nomen;M.;SG;
2 B;el formulario de inscripción;Einschreibeformular;Nomen;M.;SG;
2 B;el apellido;Nachname;Nomen;M.;SG;
2 B;la facultad;Fakultät;Nomen;F.;SG;
2 B;la carrera;Studium, Studiengang;Nomen;F.;SG;
2 B;el lugar de residencia;Wohnort;Nomen;M.;SG;
2 B;el lugar;Ort;Nomen;M.;SG;
2 B;la dirección;Adresse;Nomen;F.;SG;
2 B;el teléfono;Telefon;Nomen;M.;SG;
2 B;el correo electrónico;E-Mail;Nomen;M.;SG;
2 B;el curso intensivo;Intensivkurs;Nomen;M.;SG;
2 B;la  Cultura;Kultur;Nomen;F.;SG;
2 B;el curso individual;Privatkurs;Nomen;M.;SG;
2 B;el curso específico;Spezialkurs;Nomen;M.;SG;
2 B;el curso de preparación;Vorbereitungskurs;Nomen;M.;SG;
2 B;el DELE;spanisches Sprachenzertifikat;Nomen;M.;SG;
2 B;¿Cuál?;Welcher?;Pronomen;;;
2 B;tu;dein/e;Pronomen;;;
2 B;¿Cuál es tu número de teléfono?;Wie ist deine Telefonnummer?;Phrase;;;
2 B;el número de teléfono;Telefonnummer;Nomen;M.;SG;
2 B;el estudio;Studienfach, Studium;Nomen;M.;SG;
2 B;la arroba;Klammeraffe, @;Nomen;F.;SG;
2 B;el punto;Punkt;Nomen;M.;SG;
2 B;la barra;Schrägstrich;Nomen;F.;SG;
2 B;el guion;Bindestrich;Nomen;M.;SG;
2 B;el guion bajo;Unterstrich;Nomen;M.;SG;
2 B;emergencias;Notruf;Nomen;;PL;
2 B;el aeropuerto;Flughafen;Nomen;M.;SG;
2 B;el servicio al estudiante;Studentenservice;Nomen;M.;SG;
2 B;los bomberos;Feuerwehr;Nomen;;PL;
2 B;Correos;Post;Nomen;;;
2 B;la Cruz Roja;Rotes Kreuz;Nomen;F.;SG;
2 B;Objetos Perdidos;Fundbüro;Nomen;;;
2 B;el objeto;Gegenstand;Nomen;M.;SG;
2 B;la Policía;Polizei;Nomen;F.;SG;
2 B;Radio Taxi;Taxiruf;Nomen;;;
2 B;Renfe;spanisches Eisenbahnunternehmen;Nomen;;;
2 B;del;vom;Konjunktion;;;
2 B;el móvil;Handy;Nomen;M.;SG;
2 C;mis intereses;meine Interessen;Phrase;;;
2 C;¿Por qué?;Warum?;Phrase;;;
2 C;por;durch;Präposition;;;
2 C;Latinoamérica;Lateinamerika;Nomen;F.;SG;
2 C;chatear;chatten;Verb;;;
2 C;la gente;Leute;Nomen;F.;SG;
2 C;de habla hispana;spanischsprachig;Phrase;;;
2 C;ir;gehen, reisen;Verb;;;
2 C;a;nach;Präposition;;;
2 C;hacer;machen, tun;Verb;;;
2 C;las prácticas;Praktikum;Nomen;F.;PL;
2 C;porque;weil;Konjunktion;;;
2 C;el placer;Vergnügen;Nomen;M.;SG;
2 C;el trabajo;Arbeit;Nomen;M.;SG;
2 C;conocer;kennen, kennenlernen;Verb;;;
2 C;nuevo;neu;Adjektiv;M.;SG;
2 C;nueva;neu;Adjektiv;F.;SG;
2 Proyecto;la actividad;Aktivität, Beschäftigung;Nomen;F.;SG;
2 Proyecto;os;euch;Pronomen;;;
2 Proyecto;(la) Ingeniería Ambiental;Umweltingenieurwesen;Nomen;F.;SG;
2 Proyecto;la guitarra;Gitarre;Nomen;F.;SG;
2 Proyecto;ver;sehen;Verb;;;
2 Mi gramática;el Derecho;Jura;Nomen;M.;SG;
2 Mi gramática;el novio;fester Freund, Partner;Nomen;M.;SG;
2 Mi gramática;aquí;hier;Adverb;;;
2 Mi léxico;el tango;Tango;Nomen;M.;SG;
2 Mi léxico;el poncho;Poncho;Nomen;M.;SG;
2 Mi léxico;el baile;Tanz;Nomen;M.;SG;
2 Mi léxico;la artesanía;Kunsthandwerk;Nomen;F.;SG;
2 Mi léxico;el paisaje;Landschaft;Nomen;M.;SG;
2 Mi léxico;el mate;Mate(tee);Nomen;M.;SG;
2 Mi léxico;la hamaca;Hängematte;Nomen;F.;SG;
2 Mi léxico;la Amazonía;Amazonasgebiet;Nomen;F.;SG;
2 Mi léxico;el chocolate;Schokolade;Nomen;M.;SG;
2 Mi léxico;mexicano;mexikanisch;Adjektiv;M.;SG;
2 Mi léxico;mexicana;mexikanisch;Adjektiv;F.;SG;
2 Mi léxico;guatemalteco;guatemaltekisch;Adjektiv;M.;SG;
2 Mi léxico;guatemalteca;guatemaltekisch;Adjektiv;F.;SG;
2 Mi léxico;hondureño;honduranisch;Adjektiv;M.;SG;
2 Mi léxico;hondureña;honduranisch;Adjektiv;F.;SG;
2 Mi léxico;salvadoreño;salvadorianisch;Adjektiv;M.;SG;
2 Mi léxico;salvadoreña;salvadorianisch;Adjektiv;F.;SG;
2 Mi léxico;la fauna;Fauna;Nomen;F.;SG;
2 Mi léxico;costarricense;costa-ricanisch;Adjektiv;;SG;
2 Mi léxico;nicaragüense;nicaraguanisch;Adjektiv;;SG;
2 Mi léxico;el sombrero;Hut;Nomen;M.;SG;
2 Mi léxico;panameño;panamaisch;Adjektiv;M.;SG;
2 Mi léxico;panameña;panamaisch;Adjektiv;F.;SG;
2 Mi léxico;cubano;kubanisch;Adjektiv;M.;SG;
2 Mi léxico;cubana;kubanisch;Adjektiv;F.;SG;
2 Mi léxico;dominicano;dominikanisch;Adjektiv;M.;SG;
2 Mi léxico;dominicana;dominikanisch;Adjektiv;F.;SG;
2 Mi léxico;puertorriqueño;puerto-ricanisch;Adjektiv;M.;SG;
2 Mi léxico;puertorriqueña;puerto-ricanisch;Adjektiv;F.;SG;
2 Mi léxico;el oro;Gold;Nomen;M.;SG;
2 Mi léxico;colombiano;kolumbianisch;Adjektiv;M.;SG;
2 Mi léxico;colombiana;kolumbianisch;Adjektiv;F.;SG;
2 Mi léxico;venezolano;venezolanisch;Adjektiv;M.;SG;
2 Mi léxico;venezolana;venezolanisch;Adjektiv;F.;SG;
2 Mi léxico;peruano;peruanisch;Adjektiv;M.;SG;
2 Mi léxico;peruana;peruanisch;Adjektiv;F.;SG;
2 Mi léxico;ecuatoriano;ecuadorianisch;Adjektiv;M.;SG;
2 Mi léxico;ecuatoriana;ecuadorianisch;Adjektiv;F.;SG;
2 Mi léxico;paraguayo;paraguayisch;Adjektiv;M.;SG;
2 Mi léxico;paraguaya;paraguayisch;Adjektiv;F.;SG;
2 Mi léxico;boliviano;bolivianisch;Adjektiv;M.;SG;
2 Mi léxico;boliviana;bolivianisch;Adjektiv;F.;SG;
2 Mi léxico;chileno;chilenisch;Adjektiv;M.;SG;
2 Mi léxico;chilena;chilenisch;Adjektiv;F.;SG;
2 Mi léxico;argentino;argentinisch;Adjektiv;M.;SG;
2 Mi léxico;argentina;argentinisch;Adjektiv;F.;SG;
2 Mi léxico;colonial;kolonial;Adjektiv;;SG;
2 Mi léxico;uruguayo;urugayisch;Adjektiv;M.;SG;
2 Mi léxico;uruguaya;urugayisch;Adjektiv;F.;SG;
2 Mi léxico;la estrategia;Strategie;Nomen;F.;SG;
2 Cultura;la fecha de nacimiento;Geburtsdatum;Nomen;F.;SG;
2 Cultura;el lugar de nacimiento;Geburtsort;Nomen;M.;SG;
2 Cultura;la fecha;Datum;Nomen;F.;SG;
2 Cultura;septiembre;September;Nomen;M.;SG;
2 Cultura;la profesión;Beruf;Nomen;F.;SG;
2 Cultura;el político;Politiker;Nomen;M.;SG;
2 Cultura;la política;Politikerin;Nomen;F.;SG;
2 Cultura;el médico pediatra;Kinderarzt;Nomen;M.;SG;
2 Cultura;la médica pediatra;Kinderärztin;Nomen;F.;SG;
2 Cultura;el estado civil;Familienstand;Nomen;M.;SG;
2 Cultura;divorciado;geschieden;Adjektiv;M.;SG;
2 Cultura;divorciada;geschieden;Adjektiv;F.;SG;
2 Cultura;los hijos;Kinder;Nomen;M.;PL;
2 AB;Oficina de Relaciones Internacionales;Auslandsamt an einer Universität;Phrase;;;
2 AB;(la) Psicología;Psychologie;Nomen;F.;SG;
2 AB;similar;ähnlich;Adjektiv;;;
2 AB;importante;wichtig;Adjektiv;;;
2 AB;difícil;schwierig;Adjektiv;;;
2 AB;unir;verbinden, vereinigen;Verb;;;
2 AB;la frase;Satz;Nomen;F.;SG;
2 AB;holandés;Niederländisch;Adjektiv;;;
2 AB;la leyenda;Legende;Nomen;F.;SG;
2 AB;la capital;Hauptstadt;Nomen;F.;SG;
2 AB;la tecnología;Technologie;Nomen;F.;SG;
2 AB;el ordenador;Computer;Nomen;M.;SG;
2 AB;la mujer;Frau;Nomen;F.;SG;
2 AB;europeo;europäisch;Adjektiv;M.;SG;
2 AB;europea;europäisch;Adjektiv;F.;SG;
2 AB;el hombre;Mann;Nomen;M.;SG;
2 AB;el continente;Kontinent;Nomen;M.;SG;
2 AB;americano;amerikanisch;Adjektiv;M.;SG;
2 AB;americana;amerikanisch;Adjektiv;F.;SG;
2 AB;latinoamericano;lateinamerikanisch;Adjektiv;M.;SG;
2 AB;latinoamericana;lateinamerikanisch;Adjektiv;F.;SG;
2 AB;el monumento;Denkmal, Monument;Nomen;M.;SG;
2 AB;el Atlántico;Atlantik;Nomen;M.;SG;
2 AB;la abreviatura;Abkürzung;Nomen;F.;SG;
2 AB;Comunicación de Empresa;Unternehmenskommunikation;Phrase;;;
2 AB;la empresa;Firma, Unternehmen;Nomen;F.;SG;
2 AB;el interrogativo;Frage-, Interrogativ;Adjektiv;M.;SG;
2 AB;Meeresel;marina;Nomen;;;
2 AB;fijo;Festnetz;Adjektiv;;;
2 AB;el verbo;Verb;Nomen;M.;SG;
2 AB;sueco;Schwedisch;Adjektiv;;;
2 AB;la academia;Privatschule, Akademie;Nomen;F.;SG;
2 AB;extranjero;fremd;Adjektiv;M.;SG;
2 AB;extranjera;fremd;Adjektiv;F.;SG;
2 AB;Estocolmo;Stockholm;Nomen;;;
2 AB;publicar;veröffentlichen;Verb;;;
2 AB;el comentario;Kommentar;Nomen;M.;SG;
2 AB;Países Bajos;Niederlande;Nomen;;;
2 AB;Bélgica;Belgien;Nomen;;;
2 AB;vasco;Baskisch;Adjektiv;;;
2 AB;la Präposition;Präposition;Nomen;F.;SG;
2 AB;completo;vollständig, komplett;Adjektiv;M.;SG;
2 AB;completa;vollständig, komplett;Adjektiv;F.;SG;
2 AB;Pekín;Peking;Nomen;;;
2 AB;París;Paris;Nomen;;;
2 AB;Bruselas;Brüssel;Nomen;;;
2 AB;la fiesta;Fest, Party;Nomen;F.;SG;
2 AB;la casa;Haus;Nomen;F.;SG;
2 AB;genial;toll, genial;Adjektiv;;;
2 AB;el latino;Person aus Lateinamerika;Nomen;M.;SG;
2 AB;la latina;Person aus Lateinamerika;Nomen;F.;SG;
2 AB;las vacaciones;Ferien, Urlaub;Nomen;F.;PL;
2 AB;servir;nutzen, dienen;Verb;;;
2 AB;la zapatilla (de deporte);Turnschuh;Nomen;F.;SG;
2 AB;el pasaporte;Pass;Nomen;M.;SG;
2 AB;el significado;Bedeutung;Nomen;M.;SG;
2 AB;utilizar;benutzen, gebrauchen;Verb;;;
2 AB;sin;ohne;Konjunktion;;;
